title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Frontend Developer,Vertus Partners,"London, UK","React Developer – Trading Systems – London (Hybrid) My client, a leading London-based investment bank, is embarking on a greenfield front-office React application build from the ground up. This is a fantastic opportunity to play a key role in designing and developing a cutting-edge trading system that will be used by traders and quantitative analysts. As part of a highly skilled and dynamic team, you’ll have the autonomy to shape the architecture, technical direction, and best practices in a fa…",64826.74,64826.74,,2025-04-03T07:04:07Z,https://www.adzuna.co.uk/jobs/land/ad/5125964295?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=4E300404F949585F3C25CE45058588A81956C345,IT Jobs,frontend
Senior Frontend Developer,TechShack,"London, UK","Senior Frontend Developer | React, Next.js, Typescript | Full Time, up to £100k We have partnered with an innovative AI-driven platform transforming design workflows with a browser-based SaaS solution. Having secured strong investment and a growing user base, they seek a Senior Frontend Engineer to enhance their cutting-edge product. As a Senior Frontend Engineer , you will shape the user experience of an AI-powered platform. Working closely with designers and backend engineers, you will build …",62579.28,62579.28,,2025-04-02T16:16:19Z,https://www.adzuna.co.uk/jobs/land/ad/5124365234?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=78C3909A2C016BF91765F445CAFD3716374EB0F6,IT Jobs,frontend
Senior Frontend Engineer,G.Digital,"Eastern England, UK","Senior Frontend Engineer | React, TypeScript | 100% remote (CANDIDATES MUST BE BASED IN THE UK | up to £70k At G.Digital, we love partnering with business' who are revolutionising their industry and it's a pleasure to be partnered with a FinTech who are one of THE leaders in this sector. They are: Privately invested Launched brand new function offerings (AI and Product) About the role‍ If you're an experienced Senior Frontend Engineer with a history and love for frontend, UI builds particularly…",59536.83,59536.83,,2025-04-02T16:15:42Z,https://www.adzuna.co.uk/jobs/land/ad/5124360981?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=8C9972F6F7D893F5F304A67FC4570F38F89118B5,IT Jobs,frontend
Senior Frontend Engineer,Wave Talent,"London, UK","Product Engineer (Frontend) | £140,000 | TypeScript | Vue/React | Hybrid (1 day a week in London) My client are a cutting-edge AI company revolutionising AI-driven automation by transforming human expertise into trustworthy AI models . Their platform enables businesses to build no-code AI workflows that automate complex knowledge work, from document processing to medical imaging and industrial inspection. They have recently been ranked 1 in Sifted’s Top B2B Companies for 2024 and recently secur…",49509.9,49509.9,,2025-04-02T16:17:05Z,https://www.adzuna.co.uk/jobs/land/ad/5124369076?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=1DFE595F6119DE7B228A2340470D3F96857D7E75,IT Jobs,frontend
Senior Software Engineer II - Frontend,Rightmove,"London, UK","As a Senior Software Engineer II, you will be responsible for delivering high-quality software and products, able to be deployed frequently and safely into production. Working with similarly minded people, you will help to shape the way we use and adopt technologies and practices, with a modern engineering mindset. You are an advocate of test automation and have a clear view of where to make the best use of it. At Rightmove we work as part of autonomous cross-functional teams in an agile enviro…",61403.42,61403.42,,2025-04-02T15:37:31Z,https://www.adzuna.co.uk/jobs/land/ad/5124313731?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=D8D676B03F5B260BB09E8EAC9AF07E81ADC9007D,Engineering Jobs,frontend
Frontend Developer (React) – Remote UK,KivoHire,"Yorkshire And The Humber, UK","We're helping a fast-moving UK startup hire a Frontend Developer (React) to join their growing team.  You’ll be working on a product-led team building React-based web applications from scratch, scaling new features, and shipping clean, modern code.  What You'll Need: – Strong experience with React and JavaScript/TypeScript – Comfortable working with REST APIs – Good communication (you’ll collaborate directly with a small tech team) – UK-based or remote from Europe ✨ Nice-to-haves: – Experience …",45000,65000,permanent,2025-03-27T07:05:26Z,https://www.adzuna.co.uk/jobs/details/5113233982?utm_medium=api&utm_source=e1ad5111,IT Jobs,frontend
Frontend Developer - up to £60k - ID39064,Humand Talent,"Oxfordshire, South East England","Front-end Developer – Join a Design-Led Web Agency Are you passionate about crafting seamless, responsive, and accessible web experiences? Do you thrive in a collaborative environment where creativity and technology intersect? Our client, a design-led web agency, is seeking a Front-end Developer to join their talented team. Specialising in Drupal-based e-commerce and content management solutions , they champion open-source technologies, UX best practices, and cutting-edge web development. Why T…",42356.06,42356.06,,2025-04-02T16:15:39Z,https://www.adzuna.co.uk/jobs/land/ad/5124360545?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=7E2D21749EBFC25CCC0540A4C4FF03CBB7B6EDE0,IT Jobs,frontend
Frontend Developer,Pearson Carter,"Newcastle Upon Tyne, Tyne & Wear","Job Title: Frontend Developer Frontend Developer Pearson Carter are currently working with a leading Investment Company up North East. They are looking to grow their team as they are expanding their services. They are looking for someone who has at least 2 years commercial experience in Frontend Engineering and is ready to broaden their experience. They offer Competitive salary, Bonus, and Flexible Hybrid working Get in touch if you’re looking for your next opportunity Responsibilities: Working…",40000,45000,permanent,2025-03-26T11:40:03Z,https://www.adzuna.co.uk/jobs/details/5112093531?utm_medium=api&utm_source=e1ad5111,IT Jobs,frontend
FrontEnd Developer,Northrop Grumman,UK,"UK CITIZENSHIP REQUIRED FOR THIS POSITION: Yes RELOCATION ASSISTANCE: Relocation assistance may be available CLEARANCE TYPE: UK-Highest Level of Government Clearance TRAVEL: Yes, 10% of the Time Define Possible at Northrop Grumman UK At Northrop Grumman UK, our mission is to solve the most complex challenges by shaping the technology and solutions of tomorrow. We call it Defining Possible. This mind-set goes beyond our customer solutions; it’s the foundation for your career development and the …",45712.86,45712.86,,2024-11-04T12:46:44Z,https://www.adzuna.co.uk/jobs/details/4925794687?utm_medium=api&utm_source=e1ad5111,IT Jobs,frontend
Frontend Developer,SThree UK,UK,"Frontend Developer - Exciting Opportunity in AI Product-Based Company Join the technical team dedicated to excellence at a forward-thinking AI product-based company that collaborates with clients across government, non-profit, and housing sectors. This is a permanent position offering the flexibility of fully remote work. The company is small and growing, so the right person will be friendly, flexible, hard-working and open to fast-paced environments Essential Skills: 4 years of experience Reac…",55000,65000,permanent,2025-04-09T19:00:04Z,https://www.adzuna.co.uk/jobs/details/5137436886?utm_medium=api&utm_source=e1ad5111,IT Jobs,frontend
