title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Lead Backend Engineer,RedCat Digital,"London, UK","Working for a consumer services scale-up with over 20 million customers, the Lead Backend Engineer will lead the technical direction of the backend and manage a team of talented engineers. The company is continuing to scale internationally, building on the great success they’ve had in the U.K. The Lead Backend Engineer will be responsible for: Owning the design and development of robust, scalable backend services Spearheading the technical direction of the backend Managing a team of engineers C…",58357.45,58357.45,,2025-04-08T09:34:22Z,https://www.adzuna.co.uk/jobs/land/ad/5135271296?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=F1AB5657B7EBA8B8AA376BA41B81DBA3BA13DCF3,Engineering Jobs,backend
Backend Engineer (C++),TransPerfect,"London, UK","As a Senior Backend Engineer, you will be tasked with the successful operation and delivery of backend software projects that encompass C++ development, SIP signaling protocols, WebRTC, audio streaming development, and AI speech-to-speech technology. You will play a crucial role in architecting backend solutions and ensuring that all projects meet the specified requirements within the designated timelines. RESPONSIBILITIES Lead and ensure the smooth operation of backend software development pro…",68423.55,68423.55,,2025-04-02T16:16:07Z,https://www.adzuna.co.uk/jobs/land/ad/5124363788?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=B7823EF30746F338F496E159BE041F373DB5B5BC,IT Jobs,backend
Backend Engineer (C++),TransPerfect,"Manchester, Greater Manchester","As a Senior Backend Engineer, you will be tasked with the successful operation and delivery of backend software projects that encompass C++ development, SIP signaling protocols, WebRTC, audio streaming development, and AI speech-to-speech technology. You will play a crucial role in architecting backend solutions and ensuring that all projects meet the specified requirements within the designated timelines. RESPONSIBILITIES Lead and ensure the smooth operation of backend software development pro…",62925.24,62925.24,,2025-04-02T16:17:45Z,https://www.adzuna.co.uk/jobs/land/ad/5124371611?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=15B93E4B76C1C7D6E5D1C5B556BD9AD6ABCF77F6,IT Jobs,backend
Lead Backend Engineer,Few&Far,"London, UK","Lead Software Engineer - Python Salary - £90,000 - £110,000 Health-Tech Startup  London, London - Hybrid (1 day Kings Cross) Founded - 2022  £3million Seed Funding  I am partnered with a Health-Tech Startup revolutionising healthcare by tackling one of the NHS’s biggest challenges — Missed appointments and the growing waitlist, through the power of AI & ML. Founded in 2022, the company is on the verge of raising £3 million in Seed funding, setting the stage for significant growth.  The Role - L…",101649.26,101649.26,,2025-04-04T07:21:19Z,https://www.adzuna.co.uk/jobs/land/ad/5128733902?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=A0EE1D7E91C0BEA7475CE6C57D11FC4FC4EAE02E,IT Jobs,backend
Senior Backend Engineer,Slingshot AI,"London, UK","About Slingshot We're a team of machine learning engineers training task-specific generative models for psychology. Our goal is to build an AI therapist to help people change their mind and their lives in the ways that they want to. We partner with organizations around the globe and power use cases, including AI-assisted crisis text response, while securing best-in-class datasets to power our models. Success to us means every human being in need of support having somewhere to go. We're a well-f…",69270.33,69270.33,,2025-04-02T16:16:13Z,https://www.adzuna.co.uk/jobs/land/ad/5124364598?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=60553DAE56242ABCF02382AB8AB760FAACB48F1A,IT Jobs,backend
Senior Backend Developer,Movement8,"Nottinghamshire, East Midlands","Senior Node Developer - Node, Typescript, GraphQL, NoSQL/SQL Databases We are currently recruiting a Senior Node Developers on behalf of a global PLC to join their retail development team. With this company constantly expanding, there is “skys the limit” opportunities for individual growth and career progression. Qualifications: Strong experience with Node.js and Typescript Hands on experience with GraphQL & REST API's Good knowledge of SQL & NoSQL Databases Experience with Mircoservices Archit…",59769.74,59769.74,,2025-04-02T16:16:04Z,https://www.adzuna.co.uk/jobs/land/ad/5124363339?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=478DD74F843A5F36235B47B64EF6EAE4C146E3A8,IT Jobs,backend
Software Engineer (Backend) - Global Payroll,Rippling,"London, UK","Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system. Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even third-party apps…",49932.91,49932.91,,2025-03-19T13:33:10Z,https://www.adzuna.co.uk/jobs/land/ad/5101134927?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=6836738ADEEBB63B8CFDC5A7DCD2B4869B3762C6,IT Jobs,backend
Senior Backend Engineer (Digital Payments),Uphold,"London, UK","The Web3 economy will redefine how financial value is held and transacted - with much activity shifting towards blockchain networks and digital assets. Founded in 2013, Uphold is a Web3 financial platform that supports almost 300 digital assets and acts as Regulated Gateway to the Web3 economy. Featuring integrations with 26 blockchain networks and a robust trading engine connected to 30 underlying venues, the platform allows users to trade ‘Anything-to-Anything’ while enjoying keen pricing and…",67657.95,67657.95,,2025-02-22T16:43:10Z,https://www.adzuna.co.uk/jobs/land/ad/5060672507?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=CA4B7EF37E47C639EBE0F23FB157D9B13C87C248,IT Jobs,backend
Senior (Java) Backend Engineer I,Rightmove,"London, UK","We are on a mission to make home moving easier and simpler. Home movers across the UK spend more than a billion minutes on Rightmove each month and our website and apps receive over 140 million visits per month. To support our mission, we need software engineers with vision and passion to deliver innovative and exciting solutions for our internal users, working on in house applications and microservices integrated with third party applications that underpin how Rightmove operates. At Rightmove …",75598.27,75598.27,,2025-04-02T15:33:05Z,https://www.adzuna.co.uk/jobs/land/ad/5124305368?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=00C38D843C054F0C08D6F278E09C39FB0707BE12,IT Jobs,backend
Lead Backend Software Developer,Harnham,"London, UK","LEAD BACKEND SOFTWARE DEVELOPER LONDON/IPSWICH UP TO £100K  BONUS THE COMPANY Are you ready to lead a team of engineers and have a key role in the transformation of data systems? This wealth management firm is looking for someone like you to become part of their team and create the backend infrastructure to better serve their clients THE ROLE As a Lead Backend Software Developer, you will lead a team of 3 engineers with development, testing, and deployment of software solutions. You can expect …",76682.88,76682.88,,2025-04-02T16:16:43Z,https://www.adzuna.co.uk/jobs/land/ad/5124367199?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=ED6FBD40CB0CC90D83BFDB659F352F06E6D09C12,IT Jobs,backend
