title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,country,specialty
Expert Assurance Construction H/F,Groupe Saretec,"Rangueuil, Toulouse",Votre mission : Mener et réaliser des expertises chez les particuliers et professionnels en qualité d'expert(e) mandaté(e) par les compagnies d'assurance. Et concrètement ? - Faire preuve d'empathie et de pédagogie pour accompagner au mieux les clients sinistrés dans le cadre des garanties contractualisées - Mobiliser vos connaissances et votre expérience pour analyser et déterminer les causes d'un sinistre - Valider les garanties et chiffrer des dommages et réparations - Rédiger des rapports d…,,,,2025-02-04T19:46:00Z,https://www.adzuna.fr/land/ad/5037196027?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=1C77D3A2A2D54BC522AEB68539D422CFFC1BE25E,Unknown,fr,genie_civil_btp
Ingénieur Projet de Construction - Ingénieure Projet de Construction H/F,EP2C ENERGY,"Hauts-de-Seine, Ile-de-France","Nous recherchons pour notre client spécialisé dans l'énergie et la pétrochimie un Ingénieur projet de construction/Ingénieure de projet de construction H/F. Localisation : Nanterre, Île-de-France, France (92) Démarrage : Avril 2025 Quelles seront vos missions et responsabilités ? Au sein de l'équipe du maître d'Ouvrage, sous la direction d'un chef de projet et avec l'appui d'une chef de projet senior : Tâches administratives gestion de factures, passage de commandes, permis de travail, processu…",50000,55000,,2025-04-18T04:52:02Z,https://www.adzuna.fr/land/ad/5150948904?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=340C2058FF80477D5A2F3735F65272BD481A599A,Emplois Fabrication,fr,genie_civil_btp
Expert Assurance Construction Exetech H/F,Groupe Saretec,"Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",Votre mission : Mener et réaliser des expertises pour les ouvrages de bâtiment ou de génie civil en qualité d'expert(e) mandaté(e) par les compagnies d'assurance. Et concrètement ? - Faire preuve d'empathie et de pédagogie pour accompagner au mieux les clients sinistrés dans le cadre des garanties contractualisées - Mobiliser vos connaissances et votre expérience pour analyser et déterminer les causes d'un sinistre - Valider les garanties et chiffrer des dommages et réparations - Rédiger des ra…,,,,2025-03-22T05:47:39Z,https://www.adzuna.fr/land/ad/5105687480?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=577E9CA6AE8FCFB9EE392FB77EF62E63B99830E9,Unknown,fr,genie_civil_btp
Directeur construction (F/H),FRANCO SUISSE,"Ile-de-France, France","Vous êtes un expert de la construction passionné par les projets immobiliers haut de gamme ? Vous rêvez de piloter des réalisations d'exception, synonymes de qualité, d'élégance et d’exigence ? Vous souhaitez contribuer à la construction de projets vertueux et durables ? Vous souhaitez faire perpétuer le savoir-faire ancestral des constructions recourant à la pierre de taille et matériaux naturels ? Nous avons une opportunité taillée pour vous  Rejoignez Franco Suisse en tant que Directeur Cons…",,,,2025-03-01T10:25:36Z,https://www.adzuna.fr/land/ad/5068055237?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=007D7A9DA2BDFC18831982998A81839419442F9C,Emplois Immobilier,fr,genie_civil_btp
Ingénieur Projet Construction Industrielle,IM Projet,"Lyon, Rhône","Présentation de l'entreprise : Depuis plus de 30 ans, IM Projet (200 collaborateurs – 29 M€ en 2024) intervient dans la gestion de projets complexes, dans tous les secteurs d'activités : industrie, bâtiment, transports, systèmes d'information, R&D, … Rejoindre IM Projet , c'est intégrer une équipe passionnée , une société à taille humaine , reconnue pour son expertise en management de grands projets . Parce que notre croissance régulière est basée sur la qualité de nos missions et la fidélité d…",,,,2025-03-21T07:39:56Z,https://www.adzuna.fr/land/ad/5104020327?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=76C6029CECDC3B3FFFE16A4511638F5108D949A3,Unknown,fr,genie_civil_btp
Chef de Projets Construction ENR,TOROW,"Paris, Ile-de-France","Rattaché(e) au responsable de l'ingénierie, votre rôle est d'accompagner la réalisation de centrales photovoltaïques et parcs éoliens en tant que Chef de Projets Construction ENR sur les activités suivantes : Définir la stratégie des achats (prestations et fournitures) nécessaire au bon déroulement des projets Rédiger les cahiers des charges et participer au montage des appels d’offres Sélectionner les entreprises et élaborer les contrats de prestations / fournitures Assurer l’exécution des con…",,,,2025-04-09T04:56:26Z,https://www.adzuna.fr/land/ad/5136516041?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=3B35E846F86E1F9F510312B1929515816D1ABC56,Unknown,fr,genie_civil_btp
Economiste de la construction H/F,OCELLIS Groupe,"Suresnes, Nanterre","Qui sommes-nous ? Depuis 1999, OCELLIS, entreprise indépendante et certifiée, n'a cessé d'évoluer pour devenir l'un des acteurs majeurs de l’aménagement et de la rénovation des espaces professionnels. Elle a assuré son développant et sa croissance en intégrant toutes les compétences techniques pour proposer des services toujours plus personnalisés aux entreprises qui souhaitent aménager leurs bureaux et aux investisseurs qui désirent valoriser leurs actifs immobiliers. Nous sommes à la recherch…",,,,2025-04-14T07:37:08Z,https://www.adzuna.fr/land/ad/5143865243?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=D469FC5089CBD2C80C49CE429BAD5E3111276F67,Unknown,fr,genie_civil_btp
Chargé de Mission Construction (h/f) (CDI),LHH,France,"Poste : LHH Recruitment Solutions, cabinet de conseil en recrutement, travail temporaire spécialisé, gestion de transition et évaluation d'experts, cadres et dirigeants recherche pour son client, spécialisé dans le domaine de Travaux de menuiserie métallique et basé à CALAIS, en CDI un Chargé de Mission Construction (h/f). En tant que Chargé de projets Construction (h/f), vous jouerez un rôle clé dans le développement de l'entreprise. Vos missions incluront : Vous serez responsable de la superv…",,,permanent,2025-04-20T07:59:00Z,https://www.adzuna.fr/land/ad/5154248939?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=2486C3BA977C09FE4A30EE358EAC75068DDA1C8E,Unknown,fr,genie_civil_btp
Responsable du Service Construction H/F,Petit Forestier Group,"Villepinte, Le Raincy","Au coeur d'un Groupe où tous les métiers ont un sens, nous recherchons notre futur Responsable du Service Construction H/F. En tant que Responsable des Programmes Immobiliers, vous aurez la charge du pilotage et de la gestion des programmes immobiliers et des projets de construction, de rénovation et d'aménagement des sites du groupe Petit Forestier. Vous veillerez à la bonne exécution des programmes en termes de qualité, coûts et délais, en garantissant le respect des normes et réglementations…",,,,2025-03-27T08:41:00Z,https://www.adzuna.fr/land/ad/5113259050?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=1D295D82D3E28E517F53DD78BF9027079E23E6C6,Emplois Distribution et Entrepôts,fr,genie_civil_btp
Dessinateur en Constructions Métalliques H/F,Manpower,"Bergerac 1er Canton, Bergerac","Cette entreprise familiale spécialisée dans la construction métallique, est à la recherche d'un Dessinateur en Bureau d'Études H/F pour rejoindre son équipe à Gardonne. Reconnus pour leur proximité avec les clients, leur expertise, leur quête constante d'excellence, ils ont besoin d'agrandir l'équipe. Si vous partagez ces valeurs et avez une expérience solide en structures métalliques, nous serions ravis d'étudier votre candidature. Rattaché(e) au Directeur Technique et au sein d'une équipe plu…",35000,37000,,2025-04-18T05:27:59Z,https://www.adzuna.fr/land/ad/5150978409?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=6DAA4FC72817DC0DE13BDAFAC15899B14D4352FD,Unknown,fr,genie_civil_btp
