title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Machine Learning Engineer,The Portfolio Group,"Hinckley, Leicestershire","An exceptional opportunity for a Machine Learning Engineer (with Full-Stack experience) to join an innovative market leader at the forefront of developing next-generation solutions that transform digital interactions. The role will focus on projects to leverage state-of-the-art generative AI, retrieval-augmented generation (RAG), and reasoning frameworks to build intelligent and context-aware systems. We are seeking talented Machine Learning Engineers with full-stack software development experi…",42059.84,42059.84,,2025-05-04T08:59:42Z,https://www.adzuna.co.uk/jobs/land/ad/5179919116?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=7E9E0C066DC8FDE2275A1F8C43052DA15B0B90F0,IT Jobs,machine learning,gb,machine learning,standard,False,False
Machine Learning Engineer,Aurum Search Limited,"London, UK","Our client is a leading Global Hedge Fund who are looking to hire a Machine Learning Engineer to join their London Office. You will work closely with both investment and business teams, designing and building Machine Learning or Generative AI solutions and products for them. Improving overall operational efficiency and process improvement across the business. Responsibilities Building Data Ingestion Pipelines and Platforms. Leverage internal and external GenAI models and platforms. Building rel…",60533.72,60533.72,,2025-05-04T08:56:54Z,https://www.adzuna.co.uk/jobs/land/ad/5179917931?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=78E2DB29C08EF5F49A3C1C6DFCAF842510734EF0,IT Jobs,machine learning,gb,machine learning,standard,False,True
Machine Learning Engineer,Scalexperts,"London, UK","Machine Learning Engineer - Growing AI Business - London (On-Site) - £100k Scalexperts have partnered with a growing AI business that are looking at add at least two Machine Learning Engineers to their technology team. Having recently received a round of funding they are looking to grow their teams in London, the US and APAC. Key to their growth plan is the implementation of several ML models for their SaaS platform which has seen unprecented demand from their user base, and as such, they are k…",49956.54,49956.54,,2025-04-30T06:40:17Z,https://www.adzuna.co.uk/jobs/land/ad/5169970210?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=4B75DD55E2A2BB0BD1CE3C0075438465AC9BEE91,IT Jobs,machine learning,gb,machine learning,standard,False,False
Machine Learning Engineer,CipherTek Recruitment,"The City, Central London","Job Title : Machine Learning Operations Lead- Investment Banking Location: Remote (London City- UK based) Very flexible working arrangements Salary: £120-£150k base, 20% bonus, 13% pension  benefits Industry : Investment Banking/Finance Technology We are partnering with a prestigious investment bank to find a highly skilled and Hands-on Machine Learning Operations (MLOps) Lead. This role will be pivotal in building out a greenfield framework for the deployment and management of scalable AI/ML s…",68798.22,68798.22,contract,2025-04-28T03:41:56Z,https://www.adzuna.co.uk/jobs/land/ad/5166326031?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=B2DF3CE61B3C25474A9F36A124FA396E28CC05D0,IT Jobs,machine learning,gb,machine learning,standard,True,False
Machine Learning Consultant,CipherTek Recruitment,"The City, Central London","We are partnering with a prestigious investment bank to find a highly skilled and Hands-on Machine Learning Operations (MLOps) Lead. This role will be pivotal in building out a greenfield framework for the deployment and management of scalable AI/ML solutions, specifically for the front and Middle Office user base. The role is to define and set up a greenfield standardized MLOps framework for capital markets and set up all the tools and best practices to educate data scientists and equip them w…",69378.43,69378.43,contract,2025-04-28T03:28:31Z,https://www.adzuna.co.uk/jobs/land/ad/5166315640?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=9153B8045B2A0DBECC7E7D913C1FB469A5041B30,IT Jobs,machine learning,gb,machine learning,standard,False,False
Machine Learning Engineer,MBN Solutions,UK,"Machine Learning Engineer (R&D) – AI Incubator – upto £150k equity – Remote (UK/EU) Do you have a solid AI Research background? Do you have experience creating PoCs from SOTA research? Are you uptodate with the latest in AI? The challenge We’re a startup incubator, founded by a successful tech entrepreneur just over 2 years ago. Our expertise lies in Web3 technologies and AI, we’ve launched successful Blockchain startups and in the last 6 months, 2 AI startup. As we grow our AI Startup portfoli…",71801.7,71801.7,,2025-04-28T03:41:53Z,https://www.adzuna.co.uk/jobs/land/ad/5166325749?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=DE483140133F94EC99A6EADEC5239DAAF3BDAC83,IT Jobs,machine learning,gb,machine learning,standard,True,False
Machine Learning Engineer,Skills Alliance,"Eastern England, UK","Develop novel cell embeddings that integrate multi-omics foundation models— transcriptomics, proteomics, epigenomics, and metabolomics—to capture comprehensive cellular signatures. Your work will enable precise predictions of drug effects, driving innovation in drug discovery. Key Responsibilities: • Model Development: Design deep learning models integrating diverse omics data to create robust cell embeddings for digital twin technology. • Multi-Omics Integration: Develop and refine foundation …",42365.56,42365.56,,2025-04-30T15:57:34Z,https://www.adzuna.co.uk/jobs/land/ad/5170691108?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=A7BBFC6295F8C25D03F54F09EC0772D86BFE1F4A,Scientific & QA Jobs,machine learning,gb,machine learning,standard,False,False
Principal Machine Learning Engineer,SAGE GROUP PLC,"London, UK","Sage AI is a nimble team within Sage, building innovative services and solutions using generative AI and machine learning to turbocharge our users productivity. The Sage AI team builds capabilities to help businesses make better decisions through data-powered automation and insights. We are currently hiring a Principal Machine Learning Engineer to help us build machine learning solutions that will provide insights to empower businesses and help them succeed. As a part of our cross-functional te…",71724.23,71724.23,,2025-03-18T13:23:40Z,https://www.adzuna.co.uk/jobs/land/ad/5098885756?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=399FBA94DA8079EE50C04DBDDBA4B9525482AC80,IT Jobs,machine learning,gb,machine learning,standard,False,False
Senior Machine Learning Engineer,Harnham,UK,"Senior Machine Learning Engineer Up to £100,000 London (Fully Remote) Company: Join an innovative, fast-paced crypto start-up at the forefront of cutting-edge technology. This is your opportunity to work with the latest advancements and take a pivotal role in advancing their analytics platform. As a Senior Machine Learning Engineer, you’ll be at the forefront of innovation, developing and implementing machine learning models to optimize the platform’s performance. You’ll work with a dynamic tea…",56294.96,56294.96,,2025-04-30T15:54:57Z,https://www.adzuna.co.uk/jobs/land/ad/5170676162?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=542941F23B8D90ED24CA8B40C34E3E5D5199AA8C,IT Jobs,machine learning,gb,machine learning,standard,True,False
Software Engineer (Machine Learning),Understanding Recruitment,"London, UK","Software / Machine Learning Engineer | Cybersecurity Startup (Open Source, AI) We’re hiring a Software / Machine Learning Engineer to join an early-stage cybersecurity startup that's building the next-gen security assistant - open-source at its core, focused on automating repetitive workflows and making life easier for security teams! You'll be part of a tight-knit, ambitious team with a strong engineering culture and a track record of building widely used security tools. Location: London (Hybr…",62780.36,62780.36,,2025-04-30T15:56:28Z,https://www.adzuna.co.uk/jobs/land/ad/5170683017?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=29951E2DD55A41465D82F7AE387F7DA13BACC711,IT Jobs,machine learning,gb,machine learning,standard,False,False
