title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Marketing Executive,Resource Recruitment,"Poole, Dorset","Marketing Executive Job Location: Poole, Dorset Job Type: Permanent Salary: Circa £35,000 depending on experience Hours: 39 hours per week, Monday Thursday 8am 5pm with a 4pm finish on Friday Benefits: 23 days holiday increasing to 28 days after 5 years service plus bank holidays  Option to buy up to 4 days additional holiday every year Free car parking Various discounts available for shopping / cinema / gyms etc. Death in service scheme Welcoming team environment Regular social events An excit…",35000,35000,permanent,2025-03-20T23:55:56Z,https://www.adzuna.co.uk/jobs/details/5103643067?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Executive,Hunter Selection,"Runcorn, Cheshire","Marketing Executive Runcorn Competitive salary, please get in touch for more information Pension, Life Assurance, Healthcare, Holidays rising on service An exciting opportunity has arisen for an ambitious, target driven individual to join an exciting, growing manufacturing business. The company is seeking an experienced Marketing Executive to develop and execute marketing strategies, and collaborate with all key stakeholders across the business. This role will involve the implementation of digi…",45000,45000,permanent,2025-04-07T21:54:06Z,https://www.adzuna.co.uk/jobs/details/5134163246?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,Get Staffed Online Recruitment,"Twickenham, London","Marketing Manager Location : Twickenham; 2 days onsite; 1 day remote Salary : £40,000 Contract Type : Permanent/Part-Time For over a century, our client has been dedicated to supporting those who have worked in the entertainment industry, providing vital assistance to artists, performers, and behind-the-scenes professionals in need. Through financial aid and healthcare support, they ensure that those who bring joy to millions receive the care and dignity they deserve. They champion the wellbein…",40000,40000,permanent,2025-03-22T12:03:14Z,https://www.adzuna.co.uk/jobs/details/5106299712?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,Meridian Business Support,"Broadfield, Crawley","Doesusing your subscriptions marketing experience in a Marketing Manager role that offers autonomy, and the chance to bring ideas to the table and make an impact on a major brand sound good? How about a business that offers hybrid working and a collaborative working environment , and that has lots of growth plans in the future ? Our client, a globalmediaand events business have an exciting Marketing Manager opportunity within their award winning subscriptions team , where you will take ownershi…",40000,40000,permanent,2025-04-01T21:42:57Z,https://www.adzuna.co.uk/jobs/details/5122889496?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,Trusted Technology Partnership Ltd,"Ringwood, Hampshire","Marketing Manager Location: Ringwood, Hampshire Salary: £45k - £50k, DoE  profit share and benefits Hours: 37.5 hours per week. Contract: Full time, Permanent The Package Company Profit Share (first £3,600 is tax free) 22 days annual leave plus bank holidays, increasing with length of service. Birthday as additional paid leave. Additional paid leave (dependent on company performance). Company sick pay policy. Pension Scheme. Private Medical Insurance including dental. Free Parking Hybrid Workin…",55000,55000,permanent,2025-03-18T19:52:12Z,https://www.adzuna.co.uk/jobs/details/5099523191?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,McCarthy Recruitment Limited,"Nuncargate, Kirkby-In-Ashfield","Job Title: Marketing Manager Location: Kirkby-in-Ashfield Nottinghamshire (HYBRID) Salary: £37,500 - £42,500  bonus and benefits Role: Permanent Marketing Manager Key Responsibilities: Work collaboratively with the sales teams to create winning strategies that deliver against agreed targets Continually assess the competitive landscape to inform necessary adjustments in go to market strategy Own the company website and lead the development of such to ensure it is serving the business in having a…",40000,40000,permanent,2025-04-15T18:17:28Z,https://www.adzuna.co.uk/jobs/details/5145925964?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Executive,Ad Warrior,"Tetbury, Gloucestershire","Marketing Executive Location: Tetbury, GL8 8GX (Office based) Salary: £28,000 - £32,000 per annum (dependent on experience) Hours: Monday to Friday - 9am to 5pm - Flexibility for the right candidate Are you a creative marketing professional with big ambitions and a passion for sustainability? Are you looking for an exciting challenge that will allow you to shape a brands presence and become a key player in the world of craftsmanship and innovation? Our client is looking for a dynamic Social Med…",30000,30000,permanent,2025-04-04T13:44:55Z,https://www.adzuna.co.uk/jobs/details/5129255342?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Executive,Caleo Ltd,"Spinkhill, Sheffield","Join Our Friendly Team - FLEXIBLE HOURS Are you a creative marketing pro looking to make your mark? Were a well established small business with big ambitions, and we need a talented Marketing Executive to help shape our brand and shout about what makes us special We specialise in the design, supply and installation of custom made, designer fireplaces found in the nicest homes and public spaces up and down the UK. Take a look at us here https://shorturl.at/VcD3v What Youll Do: - Develop our comp…",30000,30000,permanent,2025-04-09T14:00:01Z,https://www.adzuna.co.uk/jobs/details/5137145101?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Executive,Dawsongroup Plc,"Tongwell, Milton Keynes","About this Role Were on the lookout for a confident and creative Marketing Executive to be the engine behind all things marketing at Dawsongroup Truck and Trailer . This role is your chance to make a visible impact, turning ideas into campaigns that get noticed by our clients and the industry alike. Keywords like B2B marketing , social media , and content creation arent just buzzwords heretheyre what youll be doing every day. Own and deliver DGTTs full marketing planon time, on budget, and on b…",34386.31,34386.31,,2025-04-15T18:17:29Z,https://www.adzuna.co.uk/jobs/details/5145925977?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Representatives,RJ Talent Connect Limited,"Hounslow, London","Are you ready for a career that offers both rewarding challenges and incredible perks Our Slough based client, renowned for their exceptional customer care, is looking for enthusiastic individuals to join their dynamic team as Marketing Representatives in vibrant Slough . This is not just a job; it's a chance to become part of a lively team that blends sales, customer service, and marketing in a supportive and fun environment. In this role, you'll be at the forefront of delivering outstanding c…",30000,30000,permanent,2025-04-08T01:58:40Z,https://www.adzuna.co.uk/jobs/details/5134569842?utm_medium=api&utm_source=e1ad5111,Sales Jobs,marketing
