title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Conseiller.ère en gestion du changement,TEHORA,"Remote, Coos County","TEHORA est présentement à la recherche d’un(e) Conseiller.ère en gestion du changement ayant d’excellentes aptitudes techniques, d’excellentes connaissances et qui souhaite mettre à profit ses compétences au sein d’une équipe polyvalente. Sans être exhaustifs, voici les services et livrables que devront fournir la personne retenue. Description des travaux ou des biens livrables : Accompagner et faire cheminer nos clients dans leur projet de transformation numérique de A à Z; Co-construire des s…",56953.93,56953.93,,2023-02-24T20:20:03Z,https://www.adzuna.com/details/3942884573?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Technicien d'Etudes en électricité H/F,Groupe Bouygues,US,"Informations générales Référence Equans_38413 Date de parution 02/05/2025 Filière Métier Réf métier Bouygues SA - ETUDES & TECHNIQUE Intitulé du poste Technicien d'Etudes en électricité H/F Contrat CDI Temps de travail Temps complet Description de la mission INEO PACA, entité d’EQUANS France, recherche son futur Technicien d’études en Electricité (H/F)– Activité industrie Poste basé à Martigues (13). INEO, entité d’EQUANS France, groupe Bouygues spécialisée dans les activités d’installation éle…",40585.61,40585.61,,2025-03-03T20:24:52Z,https://www.adzuna.com/details/5073004779?utm_medium=api&utm_source=e1ad5111,Admin Jobs,génie civil,us,génie civil,standard,False,False
Technicien d'Etudes en électricité H/F,Mobyclic,US,"Informations générales Référence Equans_38413 Filière Métier Réf métier Bouygues SA - ETUDES & TECHNIQUE Intitulé du poste Technicien d'Etudes en électricité H/F Contrat CDI Temps de travail Temps complet Description de la mission INEO PACA, entité d’EQUANS France, recherche son futur Technicien d’études en Electricité (H/F)– Activité industrie Poste basé à Martigues (13). INEO, entité d’EQUANS France, groupe Bouygues spécialisée dans les activités d’installation électrique Industrie et Tertiai…",37783.18,37783.18,,2025-03-03T19:56:40Z,https://www.adzuna.com/details/5072931634?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,génie civil,us,génie civil,standard,False,False
Alternant Ingénieur Travaux Smart-City H/F,SPIE,US,Informations générales Entité SPIE accompagne la transition énergétique et la transformation numérique. Notre ambition ? Développer un monde toujours plus smart et responsable grâce au savoir-faire reconnu d'une communauté de passionnés qui aiment se réinventer et transmettre. Des audacieux qui entreprennent chaque jour. Des professionnels qui se révèlent dans la diversité de leurs missions et de leurs métiers. Notre filiale SPIE CityNetworks met en place des solutions au service des citoyens e…,51539.97,51539.97,,2025-04-18T20:30:45Z,https://www.adzuna.com/details/5152524083?utm_medium=api&utm_source=e1ad5111,IT Jobs,génie civil,us,génie civil,standard,False,False
Architecte de données - Sénior.e,TEHORA,"Remote, Coos County","TEHORA est présentement à la recherche d’un(e) Architecte de données - Sénior.e ayant d’excellentes aptitudes techniques, d’excellentes connaissances et qui souhaite mettre à profit ses compétences au sein d’une équipe polyvalente. Sans être exhaustifs, voici les services et livrables que devront fournir la personne retenue. Description des travaux ou des biens livrables : - Avoir un impact direct sur l'expérience client - Participer à la refonte de l'architecture transversale des canaux numéri…",57390.33,57390.33,,2023-02-24T17:10:41Z,https://www.adzuna.com/details/3942708702?utm_medium=api&utm_source=e1ad5111,IT Jobs,génie civil,us,génie civil,standard,False,False
"Conduite de Travaux niveau confirmé, réhabilitation lourde (95) H/F",Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",61639.87,61639.87,,2025-03-23T20:58:55Z,https://www.adzuna.com/details/5108228707?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
"Conduite de Travaux niveau confirmé, réhabilitation lourde (95) H/F",Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",68758.34,68758.34,,2025-03-23T21:17:50Z,https://www.adzuna.com/details/5108233720?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Ingénieur.e travaux confirmé.e H/F,Groupe Bouygues,"Metz, Vernon County","Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",50768.02,50768.02,,2025-03-23T22:10:03Z,https://www.adzuna.com/details/5108254092?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Responsable travaux H/F,Groupe Bouygues,"Metz, Vernon County","Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",48881.09,48881.09,,2025-03-23T23:27:35Z,https://www.adzuna.com/details/5108301507?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Ingénieur.e travaux confirmé.e H/F,Mobyclic,"Metz, Vernon County","Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",45305.5,45305.5,,2025-03-23T19:59:30Z,https://www.adzuna.com/details/5108189018?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
