title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Senior Fullstack Engineer,Lavanda Ventures Ltd.,"London, UK","The Company Lavanda is a B2B software company. We’ve developed an award-winning, best-in-class SaaS platform that enables Multifamily and Student accommodation operators to optimise their portfolios with a comprehensive short and medium-term rental solution. Our software toolkit enables partners to tap into the full spectrum of rental demand across their portfolios, whilst powering a range of management solutions to suit their evolving needs: fully-outsourced operations or in-house management. …",64354.47,64354.47,,2024-07-31T15:02:42Z,https://www.adzuna.co.uk/jobs/details/4802505527?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Senior Fullstack Engineer,Duel,"Redcliffe, Bristol","Senior Fullstack Engineer Hybrid: Remote/Bristol Salary: £75,000- £80,000 About Us Duel is a SaaS company on a mission to make Brand Advocacy the industry standard playbook for building brilliant retail brands. It was founded by world record breaking adventurer and former brand ambassador Paul Archer, alongside viral games developer Naio Tsarouchis, and we exist to show there’s a better way to build businesses, to build a better future, proving that caring for people builds brand, which builds …",79051.96,79051.96,,2025-02-23T12:58:50Z,https://www.adzuna.co.uk/jobs/details/5061315385?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Fullstack Node Developer,Circle Recruitment,"Manchester, Greater Manchester","Fullstack Node Developer Key skills - Node JS, Javascript, React, GIT, Typescript  Due to Security Clearance we need candidates to have 5 years work experience in the UK  A Manchester based software house with over 35 years of history is growing a number of their development teams and currently has a a new opportunitiy for a mid-level Node JS Developer to join at a time where they are embarking on new platform development. From a skill set, you'll be working within the following technical envir…",45000,60000,permanent,2025-03-28T20:23:29Z,https://www.adzuna.co.uk/jobs/details/5116658153?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Senior Fullstack Developer,Mustard,"London, UK","Job Description Senior Full Stack Developer UK Remote ( going to the London Office 1 x per month) £90,000 - £120,000  Equity, Remote Working, Flexible Hours, Progression & Autonomy Exciting opportunity for a Senior Full Stack developer, with strength on the Front End, to join an exciting Y Combinator startup. This exciting startup combine VoIP technology and AI to create a secure and collaborative communication system for SMEs. It’s a great time to join as they are offering equity and are growi…",61276.37,61276.37,,2024-11-18T09:17:46Z,https://www.adzuna.co.uk/jobs/details/4942660425?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Senior Fullstack Developer,Xpertise Recruitment Ltd,"Nottingham, Nottinghamshire","Role – Senior Fullstack Developer Salary – £65,000-£75,000 Location – Fully Remote Job Definition: As a Senior Developer, you will perform technical tasks such as analysis, design, programming, testing, installation, and software maintenance. This role involves resolving technical issues, improving existing products, and working on a variety of projects. You will work with technologies such as .NET web framework multi-tenant APIs and front-end development using React. The ideal candidate will b…",65000,75000,permanent,2025-04-07T14:25:25Z,https://www.adzuna.co.uk/jobs/details/5133512989?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Senior Fullstack Developer,Xpertise Recruitment,"Leicester, Leicestershire","Role – Senior Fullstack Developer Salary – £65,(Apply online only)-£75,(Apply online only) Location – Fully Remote Job Definition: As a Senior Developer, you will perform technical tasks such as analysis, design, programming, testing, installation, and software maintenance. This role involves resolving technical issues, improving existing products, and working on a variety of projects. You will work with technologies such as .NET web framework multi-tenant APIs and front-end development using R…",65000,75000,,2025-04-07T13:26:49Z,https://www.adzuna.co.uk/jobs/details/5133480992?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
FullStack Web Developer,Humanitarian Operations,"Riccarton, Currie","Full Stack Developer at Humanitarian Operations Location: This is a fully in-person role based in Edinburgh, Scotland. We require you to work from our office in Edinburgh five days a week. Why Choose HOPE (Humanitarian Operations)? At Humanitarian Operations, we do things a little differently. We are done with corporate hierarchies and work in an agile, start-up, fashion. We celebrate everyone’s individuality and ideas as exactly what they are: valuable The work culture at HOPE is collaborative…",35000,60000,,2025-01-30T13:17:54Z,https://www.adzuna.co.uk/jobs/details/5029638653?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Java Fullstack Developer,infosys,UK,"Primary skills:UI & Markup Languages->Java Full Stack A day in the life of an Infoscion As part of the Infosys consulting team, your primary role would be to get to the heart of customer issues, diagnose problem areas, design innovative solutions and facilitate deployment resulting in client delight. You will develop a proposal by owning parts of the proposal document and by giving inputs in solution design based on areas of expertise. You will plan the activities of configuration, configure th…",50134.85,50134.85,,2023-11-13T15:51:28Z,https://www.adzuna.co.uk/jobs/details/4429845779?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Senior Fullstack Engineer,Axion Ray,"London, UK","Axion Ray’s mission is to improve the quality and safety of engineered products - airplanes, electric vehicles, and medical devices, by creating the world’s best proactive management platform, powered by the latest advances in artificial intelligence. We're revolutionizing the way next-gen vehicles are made and are partnering with forward-looking engineering leaders to create and deploy AI models that will accelerate our speed to an electric and supersonic future. Axion leverages bleeding-edge …",62893.74,62893.74,,2024-09-27T13:29:26Z,https://www.adzuna.co.uk/jobs/details/4878907499?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Senior Fullstack Engineer,Sotheby's,"London, UK","ABOUT SOTHEBY'S Established in 1744, Sotheby’s is the world’s premier destination for art and luxury. Sotheby’s promotes access to and ownership of exceptional art and luxury objects through auctions and buy-now channels including private sales, e-commerce and retail. Our trusted global marketplace is supported by an industry-leading technology platform and a network of specialists spanning 40 countries and 70 categories which include Contemporary Art, Modern and Impressionist Art, Old Masters,…",62455.98,62455.98,,2024-11-19T14:40:57Z,https://www.adzuna.co.uk/jobs/details/4944343453?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
