title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Building Control Surveyor,HAYS,"Surrey, South East England","New Contract Opportunity Your new company Our Client, based in Surrey, is seeking a qualified Building Control Surveyor (Level 2A - 2F) to join their busy Team. Your new role Working on a variety of new build and refurbishment projects, including domestic, commercial and mixed-use contracts, your role will involve site inspections to check that works are in line with Building Regulations, What you'll need to succeed As a Qualified Building Control Surveyor (to a minimum Level 2), you should hav…",49127,49127,contract,2025-04-11T16:41:48Z,https://www.adzuna.co.uk/jobs/land/ad/5140567373?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=A8215B3B326D5A2B62175739DA2C1DF9534A7136,Trade & Construction Jobs,controller
Building Control Surveyor,HAYS,"Essex, Eastern England","Building Control Surveyor opportunity with Southend-on-Sea City Council Your new company Southend-on-Sea City Council is a Unitary Local Authority, providing vital services to meet the needs of the local community. They employ around 800 staff who work alongside local communities to deliver the Southend 2050 ambition and make lives better for the people of Southend. Working for Southend-on-Sea City Council offers a challenging and rewarding career in local government within a collaborative and …",32115,37035,permanent,2025-03-15T13:26:49Z,https://www.adzuna.co.uk/jobs/land/ad/5095324500?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=0B0B2C6725ED383571D4C84F9654D949BB4FFFCA,Trade & Construction Jobs,controller
Process Control Engineer,HAYS,"Ossett, West Yorkshire","Process Control Engineer - Upto £55k, Day Shift This is an opportunity to join a leading FMCG manufacturer for their site in Wakefield. They are seeking an apprentice-trained and experienced Process Control Engineer to join their established team, working days (Monday to Friday, 8am–4pm) on their site in Wakefield. Responsibilities for this position include: Carrying out risk assessments with the relevant people and put controls in place to minimise the risk to acceptable levels where reasonabl…",0,55000,permanent,2025-01-14T20:33:28Z,https://www.adzuna.co.uk/jobs/land/ad/5010534450?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=7EA457B4E65A439E31FDB7414357DE3B21A8BBE1,Engineering Jobs,controller
Recipe and Product Integration Controller,Kerry,UK,"Requisition ID: 57081 Position Type: FT Permanent Workplace Arrangement: LI-Onsite About the role We are looking for a Recipe and Product Integration Controller to join the team at our Taste & Nutrition Manufacturing facility where we create and produce flavors. You will align master data for over 3,500 recipes and implement a program of robust manufacturing instructions aligned to the master data. You will also support the improvement of the existing portfolio as well as around 150 new product…",30588.19,30588.19,permanent,2025-02-12T16:02:58Z,https://www.adzuna.co.uk/jobs/land/ad/5047341638?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=3CDA4E81418C2D0D934BB32BC1D0393CC7372DC9,Manufacturing Jobs,controller
Controller,Pilgrims Europe,"Dungannon, County Tyrone","To manage and control production and achieve the line processing and packing plans. To ensure the quality of all production meets customer specification. Responsible to ensure minimum downtime and achieve production targets. Rotating shift pattern The company Pilgrim's Pride Limited is a division of Pilgrim's Pride Corporation, our business is part of the second largest food company in the world, whose team farm, process, prepare, package and deliver fresh, frozen and value-added food products …",33416.57,33416.57,,2025-04-16T05:05:51Z,https://www.adzuna.co.uk/jobs/land/ad/5146856700?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=3D33C1132F66355046632F1F89A94A5A047FB296,Manufacturing Jobs,controller
CONTROLLER,Pilgrims Europe,"Dungannon, County Tyrone","To manage and control production and achieve the line processing and packing plans. To ensure the quality of all production meets customer specification. Responsible to ensure minimum downtime and achieve production targets. This Vacancy is in Frozen Packing Department Team B The company Pilgrim's Europe produces some of the best-known and most iconic brands in the UK and Ireland, including Fridge Raiders, Rollover, Denny, Richmond, Oakhouse and Moy Park, alongside a diverse range of industry l…",29664.06,29664.06,,2025-04-16T05:05:51Z,https://www.adzuna.co.uk/jobs/land/ad/5146856703?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=E892A1EBE66F65E125174BF5B5B2AA6E8BD5366D,Manufacturing Jobs,controller
Pest Controller (Self-Employed),MyJobQuote,"West Yorkshire, Yorkshire And The Humber",Are you a skilled Self-Employed Pest Controller looking to grow your business and secure more work? MyJobQuote connects tradespeople like you with thousands of homeowners searching for trusted professionals every month Do you have the necessary skills and qualifications? Join us today to gain access to leads and find opportunities to take on work as and when you require it. Simply register your details with us and build your profile to gain access to jobs advertised in your area. Required Educa…,48292.26,48292.26,contract,2025-04-09T16:10:27Z,https://www.adzuna.co.uk/jobs/land/ad/5137220574?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=A37E6F0283B0C12DF7009334F07F122517B16024,Trade & Construction Jobs,controller
Pest Controller (Self-Employed),MyJobQuote,"Cardiff, Cardiff County",Are you a skilled Self-Employed Pest Controller looking to grow your business and secure more work? MyJobQuote connects tradespeople like you with thousands of homeowners searching for trusted professionals every month Do you have the necessary skills and qualifications? Join us today to gain access to leads and find opportunities to take on work as and when you require it. Simply register your details with us and build your profile to gain access to jobs advertised in your area. Required Educa…,49342.71,49342.71,contract,2025-04-09T16:10:26Z,https://www.adzuna.co.uk/jobs/land/ad/5137220502?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=C79436FAB274B1B67A3464465077426ED7363DFA,Trade & Construction Jobs,controller
Pest Controller (Self-Employed),MyJobQuote,"Wolverhampton, West Midlands",Are you a skilled Self-Employed Pest Controller looking to grow your business and secure more work? MyJobQuote connects tradespeople like you with thousands of homeowners searching for trusted professionals every month Do you have the necessary skills and qualifications? Join us today to gain access to leads and find opportunities to take on work as and when you require it. Simply register your details with us and build your profile to gain access to jobs advertised in your area. Required Educa…,47714.62,47714.62,contract,2025-04-09T16:10:27Z,https://www.adzuna.co.uk/jobs/land/ad/5137220577?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5596D1484F8F0EB723E2633F5967F902A0C4EAE5,Trade & Construction Jobs,controller
Pest Controller (Self-Employed),MyJobQuote,"Peterborough, Eastern England",Are you a skilled Self-Employed Pest Controller looking to grow your business and secure more work? MyJobQuote connects tradespeople like you with thousands of homeowners searching for trusted professionals every month Do you have the necessary skills and qualifications? Join us today to gain access to leads and find opportunities to take on work as and when you require it. Simply register your details with us and build your profile to gain access to jobs advertised in your area. Required Educa…,48081.79,48081.79,contract,2025-04-09T16:10:26Z,https://www.adzuna.co.uk/jobs/land/ad/5137220493?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=244A79B3B0915F2DA77128EF42ADBEE60E24CFDB,Trade & Construction Jobs,controller
Pest Controller (Self-Employed),MyJobQuote,"Gloucester, Gloucestershire",Are you a skilled Self-Employed Pest Controller looking to grow your business and secure more work? MyJobQuote connects tradespeople like you with thousands of homeowners searching for trusted professionals every month Do you have the necessary skills and qualifications? Join us today to gain access to leads and find opportunities to take on work as and when you require it. Simply register your details with us and build your profile to gain access to jobs advertised in your area. Required Educa…,49338.47,49338.47,contract,2025-04-09T16:10:25Z,https://www.adzuna.co.uk/jobs/land/ad/5137220470?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F92E8F4D3700B1BDD28B0DB2746C8144607021F4,Trade & Construction Jobs,controller
Pest Controller (Self-Employed),MyJobQuote,"Aberdeenshire, Scotland",Are you a skilled Self-Employed Pest Controller looking to grow your business and secure more work? MyJobQuote connects tradespeople like you with thousands of homeowners searching for trusted professionals every month Do you have the necessary skills and qualifications? Join us today to gain access to leads and find opportunities to take on work as and when you require it. Simply register your details with us and build your profile to gain access to jobs advertised in your area. Required Educa…,50161.87,50161.87,contract,2025-04-09T16:10:26Z,https://www.adzuna.co.uk/jobs/land/ad/5137220519?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=AEB7B47C1939C164528E91CF67A1A45D1439392C,Trade & Construction Jobs,controller
